label,TFIDF
dna,9.38E-06
cells,1.00E-05
cell,1.16E-05
blood cells,1.47E-05
plant cells,2.45E-05
photo researchers,2.61E-05
body cells,2.87E-05
module,3.75E-05
dna molecules,3.95E-05
cell division,4.25E-05
animal cells,4.38E-05
cell cycle,4.44E-05
plant,5.11E-05
state university,5.28E-05
species,5.73E-05
plants,5.77E-05
chapter,6.23E-05
dna rna,6.88E-05
blood,7.03E-05
system,7.08E-05
body,7.48E-05
community college,7.67E-05
genes,7.93E-05
human,8.08E-05
rna,8.14E-05
united states,8.16E-05
water,8.33E-05
gene,8.36E-05
cell dna,8.48E-05
muscle cells,8.65E-05
eukaryotic cell,8.89E-05
animals,9.11E-05
animal,9.21E-05
energy,9.82E-05
dna technology,9.96E-05
life,0.000102695
atp,0.00010589
stem cells,0.00010657
cell walls,0.000118312
called,0.000121019
nervous system,0.000121323
molecules,0.000123226
chemical energy,0.000126947
dna sequences,0.000130487
cell wall,0.000141211
university,0.000143482
life cycle,0.000145434
plant species,0.000150291
structure,0.000151131
dna replication,0.000151581
evolution,0.000164245
population,0.000166459
food,0.000172784
proteins,0.000175353
systems,0.000181551
protein,0.00018262
cell body,0.000182673
immune system,0.00018293
earth,0.000184715
chemical,0.000188498
researchers,0.000189434
cells called,0.000192967
dna proﬁling,0.000194746
photo,0.000204429
genetic,0.000207178
chapter opener,0.000209726
human population,0.000211061
modules,0.000212129
cancer cells,0.00021238
cellular respiration,0.000212417
cell structure,0.000216742
college,0.000221259
tissue system,0.000225997
atp molecules,0.000228814
water molecules,0.000229336
egg cell,0.000234045
rna molecule,0.000235586
human dna,0.000237585
human body,0.00023989
humans,0.000242615
function,0.000244277
dna strand,0.000244638
population growth,0.000247347
plant growth,0.000249453
cell membranes,0.000252705
organisms,0.000253429
amino acids,0.000253963
natural selection,0.00025582
red blood,0.000257242
dna fragments,0.000259901
chromosomes,0.000260527
molecule,0.000266767
cycle,0.000284856
calvin cycle,0.000289148
cell types,0.000289893
blood vessels,0.000289954
host cell,0.000294387
form,0.000294869
growth,0.000295606
tissue cells,0.000305544
organic molecules,0.00031459
acid,0.000323856
recombinant dna,0.000330359
species diversity,0.00033418
cell figure,0.000335167
living cells,0.000335925
cells produce,0.000336572
gene expression,0.000344058
diversity,0.000345737
structures,0.000346218
plant body,0.000351612
state college,0.000356958
organ systems,0.000359405
light,0.000359618
animal species,0.00036409
tissue,0.000365308
prokaryotic cells,0.000375597
functions,0.000376594
membrane,0.000380319
enzyme dna,0.000381075
acid cycle,0.000385371
cells make,0.000385374
plant life,0.000387043
small,0.000387109
daughter cells,0.000387215
phage dna,0.000391191
nerve cell,0.000396097
plant hormones,0.000398179
make,0.00040139
circulatory system,0.000401446
bacteria,0.000403785
cellular,0.000405011
blood pressure,0.000413144
produce,0.000414285
makes dna,0.000417424
environment,0.000420638
sperm cell,0.000422583
cell growth,0.000427875
cell chapter,0.000428588
plasma membrane,0.0004354
number,0.000446218
biology,0.00045038
group,0.000453327
getty images,0.000454581
target cells,0.000460756
type,0.000466622
hair cells,0.000466671
types,0.000472194
light energy,0.000473226
parent cell,0.000476118
changes,0.000478467
make atp,0.00048109
hormones,0.000484113
community,0.000486407
state,0.000500659
part,0.000502526
brain,0.000503007
change,0.000506526
figures,0.000510065
receptor cell,0.000511316
body cell,0.000511484
body parts,0.000512931
dna double,0.000517021
large,0.0005176
cell layers,0.000517713
egg cells,0.000522101
acids,0.000524951
time,0.000525367
human cells,0.000525698
years,0.000528459
human genome,0.000528756
body temperature,0.000532362
root cells,0.000534197
result,0.00053623
natural,0.000543462
cell type,0.000543549
development,0.000543774
endocrine system,0.000548857
muscle,0.000552315
organism,0.000561598
viral dna,0.000567521
states,0.000570423
cell surfaces,0.000570684
human life,0.000572085
plant evolution,0.000574142
genetic diversity,0.000584993
tissues,0.000585043
control,0.000586619
plant diversity,0.000587999
white blood,0.000589955
chemical reactions,0.000591601
cells function,0.000595478
found,0.000596447
immune response,0.000609991
reproduction,0.000614408
plant structure,0.000614496
ﬁrst,0.000615227
single cell,0.000616407
parts,0.000616637
groups,0.000621658
human genes,0.000635126
digestive system,0.000638855
human evolution,0.000640959
chapter review,0.000647768
disease,0.000649856
hormone,0.000650039
enzyme,0.000650912
food molecules,0.00065155
cell makes,0.00066064
human brain,0.000661088
dna samples,0.000670397
embryonic development,0.000672578
species concept,0.000673379
protein molecules,0.000673675
surface,0.000674334
years ago,0.00067528
guard cells,0.000678578
animal structure,0.000683013
selection,0.000692811
rna called,0.00070496
gene ﬂow,0.000708832
cells control,0.000709174
process,0.000710656
forms,0.000715126
shown,0.000715589
dna proﬁle,0.000722145
land plants,0.00072305
gene regulation,0.00072518
response,0.000727408
skin cells,0.00072859
potential energy,0.000734285
animal diversity,0.000735649
dna ligase,0.000736309
light reactions,0.000738709
structures called,0.0007408
chromosome number,0.000740949
shows,0.000750774
behavior,0.000752047
common,0.00075858
bacterial cells,0.000758736
transport,0.000760636
body form,0.000761544
proteins called,0.000763773
rna polymerase,0.000764377
north america,0.000765006
human blood,0.000765312
repetitive dna,0.000767594
chromosomal dna,0.000778687
stem cell,0.000781512
dna called,0.0007843
organic,0.000784933
red,0.000785177
electron transport,0.000790054
embryonic cells,0.000795504
control cell,0.000797821
nutrients,0.000797885
tion,0.000798013
soil,0.000806059
organs,0.000808985
enzymes,0.000811489
receiving cell,0.000812453
heart,0.000813575
body tissues,0.000817627
individuals,0.000817925
left,0.000826181
chapter introduction,0.000837758
chemicals,0.000840164
homologous chromosomes,0.00084511
animal tissues,0.000850924
body functions,0.000850963
cells harvest,0.000853199
early earth,0.000855902
signals,0.00085843
dna bases,0.000863217
dna microarray,0.000868211
evolutionary,0.000869432
amino,0.000872508
sperm,0.000875596
world,0.0008787
million years,0.000881471
genetic information,0.000884607
water cycle,0.000890106
respiratory system,0.00089391
rate,0.000894848
single,0.000896439
carbon,0.00090159
membranes,0.000909003
plant roots,0.000923402
system cells,0.000925966
immune,0.000928908
tree,0.000931498
muscles,0.000932858
brain cells,0.000934513
evolutionary history,0.000938552
animal body,0.000942232
organ,0.000943194
diploid cell,0.000948583
review figure,0.000950035
gene pool,0.000950465
population size,0.000952174
dna controls,0.000959273
dna synthesis,0.000961528
air,0.00096176
respiration,0.000966809
study,0.000967238
specialized cells,0.000970061
produces,0.00097105
crop plants,0.000973416
dna nucleotide,0.000975903
life history,0.00097832
system structure,0.000983944
results,0.000983981
surface area,0.000984564
dna packing,0.000986212
factors,0.00098651
protein structure,0.000987332
homeotic genes,0.000987598
long dna,0.000991779
control system,0.000993633
speciﬁc,0.000997486
gas exchange,0.001000127
egg,0.001001257
working cell,0.001008279
reproductive,0.001010169
chemical groups,0.00101463
electron,0.001016138
seed plants,0.001016742
dna changes,0.001018267
review module,0.001024045
blood ﬂow,0.001031374
exchange,0.001035015
male,0.001036814
offspring,0.001040546
include,0.001040627
table,0.001043591
division,0.001044023
bacteria figure,0.001052589
liver cells,0.001056152
made,0.001060311
vertebrate,0.001061584
united,0.001061786
mendel,0.001062184
vascular plants,0.00106423
photosynthesis,0.001069761
large molecules,0.001072027
electrons,0.001075911
dna structure,0.001077339
chromosome structure,0.001077836
ing,0.001079478
haploid cells,0.00108041
chemical signals,0.001083448
major,0.001090312
cancer,0.001095949
small cell,0.001097301
blood glucose,0.001100929
birds,0.001103766
plant tissues,0.001104732
makes,0.001106463
control genes,0.001108298
living,0.001110504
atp synthesis,0.00111422
eukaryotic,0.001115652
21,0.001118783
occurs,0.001120589
water loss,0.001123801
reproductive system,0.001124723
darwin,0.001127307
host cells,0.001128484
dna enters,0.001130026
genetic material,0.001132057
hiv,0.001136379
produce atp,0.001138122
sugar,0.001139471
long,0.001139556
single gene,0.001148574
climate change,0.001151749
female,0.001155011
signal,0.00116468
body structures,0.001166461
process called,0.001166742
nervous,0.00116721
biological,0.001167221
reactions,0.001168337
effector cells,0.00116974
ﬁrst cells,0.001172888
people,0.001174767
infected cell,0.001175039
human activities,0.001175089
complementary dna,0.001175281
important,0.001177948
genetic variation,0.001181634
photo service,0.001181902
foreign dna,0.001182204
genetic changes,0.001185448
fungi,0.001192382
primary cell,0.001193884
protein synthesis,0.001198664
effects,0.001203387
dna analysis,0.001205908
glucose,0.001211701
prokaryotes,0.001214088
area,0.001215291
adaptations,0.001217172
plant nutrition,0.001226702
land,0.001227266
single-stranded dna,0.001227993
occur,0.001230992
sexual reproduction,0.001231085
high,0.001239564
cell elongation,0.001242381
ﬂuid,0.001247009
embryonic,0.001248896
oxygen,0.001253839
small molecules,0.001254544
dna consists,0.001261482
transport chain,0.001263994
time dna,0.00126539
move,0.001266555
epithelial cells,0.001268676
cell shape,0.001276625
photoreceptor cells,0.001279728
biological photo,0.001283753
images,0.001286842
rna genome,0.001297064
north,0.001309479
body forms,0.001315394
including,0.001316517
sequence,0.001318575
cycles,0.001320697
daughter dna,0.00132088
cell water,0.001326246
pressure,0.001327578
allele,0.001338767
potential,0.001341103
plasma,0.001344966
movement,0.001346304
history,0.001359589
dna segments,0.001363164
cell receptor,0.001363509
human digestive,0.001368885
digestive,0.001373305
meiosis,0.001377273
bonds,0.001377373
systems biology,0.00138527
human males,0.001389165
areas,0.001390761
living organisms,0.001394593
produced,0.001397675
genetics,0.001399657
cells form,0.001402093
source,0.001404594
cell plate,0.001417773
level,0.001420114
membrane proteins,0.001421151
memory cells,0.001424161
animal behavior,0.001425541
dna genotype,0.001429952
cells lining,0.001431792
connection modules,0.001442062
body surface,0.001446901
plant organs,0.001457002
sea,0.001461936
endomembrane system,0.001464884
cell bodies,0.00147094
alleles,0.001473392
central cell,0.001482397
skin,0.001484026
chemical bonds,0.001496479
transfer dna,0.001498782
dna transfer,0.001498782
energy ﬂow,0.001500131
leaves,0.001505125
solar energy,0.001506207
kidney cells,0.001506315
ﬂow,0.001508354
american,0.001510184
mammals,0.001513426
effect,0.001514852
animal development,0.001519982
urinary system,0.001524985
increase,0.00152638
basis,0.00153258
sex chromosomes,0.001534678
embryo,0.001540303
cell make,0.001541494
reproductive structures,0.001546116
cells divide,0.001549976
cell divides,0.001549976
body ﬂuids,0.001551767
times,0.00155605
dna evidence,0.001559234
concepts,0.001564758
secondary cell,0.001565891
called dna,0.001568601
rna splicing,0.001575154
human health,0.001578947
atoms,0.001584221
provide,0.001586253
seed,0.001588594
human species,0.001588967
eggs,0.001589092
information,0.00159234
nerve,0.001592834
origin,0.001594104
year,0.001597571
temperature,0.001598046
transport proteins,0.001598903
production,0.001599123
cardiovascular system,0.001600098
levels,0.001601757
includes,0.001605906
water balance,0.001606665
large cells,0.001607582
science,0.001612704
community structure,0.001614674
animal evolution,0.001615442
cellular basis,0.001619538
less,0.001622685
dna template,0.001622885
action,0.001623026
normal cells,0.00162986
mitochondrial dna,0.001633385
age,0.001638942
fossil,0.001641246
growth rate,0.001642053
eukaryotic dna,0.001642606
sugar molecules,0.00164488
action potentials,0.001646863
reaction,0.001651786
citric acid,0.001653651
plant nutrients,0.001655441
receptors,0.001656299
cycle control,0.001658827
ecosystems,0.00165892
gene cloning,0.001661699
normal,0.001669015
size,0.001670282
vertebrate diversity,0.001670948
dna shown,0.001671602
cell biology,0.001675909
males,0.001681319
center,0.001684709
end,0.001690119
rna protein,0.001693527
parent species,0.001694976
fatty acids,0.001697485
calvin,0.001698927
cell develops,0.001702745
hydrogen,0.001705478
atp production,0.00170726
root,0.001708436
organic compounds,0.00170954
dna level,0.001711753
diseases,0.001711815
genetic basis,0.001713622
animal nervous,0.001716907
loss,0.001718625
animal groups,0.001718714
blood ﬂows,0.001718956
primary,0.001719684
chemical structure,0.001721178
molecular biology,0.001722007
cell death,0.001731607
numbers,0.001731652
ﬂowering plants,0.001734067
land animals,0.001744433
energy source,0.001747492
complex,0.001747706
endocrine cell,0.001756515
animals move,0.001757578
recipient cell,0.001759477
early,0.001768393
inheritance,0.001776256
factor,0.001777118
central,0.001780211
heat,0.001781342
bone cells,0.001781685
cell junctions,0.001787471
nature,0.001787988
age structure,0.001793801
atp cycle,0.00179926
chemical basis,0.00180233
roots,0.001803939
acids dna,0.001804026
single dna,0.001804938
molecule called,0.001805766
cell genes,0.001808039
population ecology,0.001810312
connective tissue,0.001811188
explain,0.001812688
africa,0.001822049
bone,0.001822623
hiv rna,0.001823301
scientists,0.001837371
shape,0.00185613
cells move,0.001859694
side,0.001861061
human genetic,0.001862863
genome,0.001863172
hair cell,0.001866683
human development,0.001867008
growth factors,0.001867035
work,0.001867514
chain,0.001867826
stimulate cell,0.001868282
parenchyma cells,0.001873503
evidence,0.00187981
generate atp,0.001882146
food source,0.00189113
dividing cells,0.001894184
circular dna,0.001899453
human behavior,0.001902672
vessels,0.001904973
foods,0.001905946
nerve signals,0.001906357
alamy,0.001907827
biological diversity,0.001914801
support,0.001926231
human skin,0.001927955
cells animal,0.001927981
cell diseases,0.001932101
gas,0.001932862
make food,0.001934443
receptor proteins,0.001936256
including humans,0.001940187
material,0.001942732
dna turn,0.001954377
muscle tissue,0.001955654
atp synthase,0.001961294
biological molecules,0.00197242
million,0.001975413
cut dna,0.001977769
parent plant,0.001980413
health,0.001982347
stem,0.001985125
aids,0.001987065
molecular,0.001994032
donor cell,0.001999601
root system,0.002000754
plant parts,0.002003214
root cell,0.00200324
research,0.002010019
fossils,0.002013727
identical dna,0.002014762
concept modules,0.002024978
parental dna,0.002031904
main,0.00203815
dna polynucleotide,0.002043064
pro,0.002047299
sensory,0.002050403
synthesis,0.002055083
glucose molecule,0.002061652
layer,0.002069505
cell nucleus,0.002074113
seeds,0.002075608
vascular tissue,0.002080038
nucleic acids,0.002085195
dna makes,0.002087121
dna viruses,0.002089378
tions,0.002089711
high blood,0.002089743
central nervous,0.002091018
animal life,0.002097277
concept,0.002100633
cell forms,0.002103139
vascular system,0.0021079
body systems,0.002111433
body cavity,0.002114327
called rna,0.002114881
previous module,0.002125323
lymphatic system,0.002126582
wall,0.002128184
