,index,Id
0,0,absolute zero
1,1,absorbance
2,2,absorption
3,3,abundance
4,4,accuracy
5,5,acid
6,6,acid anhydride
7,7,acid dissociation constant (Ka)
8,8,actinides
9,9,activated complex
10,10,activation energy
11,11,activity series
12,12,actual yield
13,13,acyclic
14,14,addition reaction
15,15,adhesion
16,16,adsorption
17,17,aeration
18,18,alcohol
19,19,aldehyde
20,20,alkali metal
21,21,alkaline earth metal
22,22,alkane
23,23,alkene
24,24,alkyl group
25,25,alkyne
26,26,allomer
27,27,allotrope
28,28,alloy
29,29,amalgam
30,30,amount of substance
31,31,analyte
32,32,analytical chemistry
33,33,anion
34,34,anode
35,35,aqueous solution
36,36,aromaticity
37,37,arrow pushing
38,38,aryl
39,39,atom
40,40,atomic mass
41,41,atomic mass unit
42,42,atomic number (Z)
43,43,atomic orbital
44,44,atomic radius
45,45,atomic weight
46,46,average atomic mass
47,47,Avogadro's law
48,48,Avogadro's number
49,49,azeotrope
50,50,barometer
51,51,base
52,52,base anhydride
53,53,beaker
54,54,Beer–Lambert law
55,55,biochemistry
56,56,Bohr model
57,57,boiling
58,58,boiling point
59,59,boiling-point elevation
60,60,bond
61,61,Boyle's law
62,62,Bragg's law
63,63,Brownian motion
64,64,Brønsted–Lowry acid
65,65,Brønsted–Lowry acid–base reaction
66,66,Brønsted–Lowry base
67,67,Büchner flask
68,68,buffered solution
69,69,bumping
70,70,bung
71,71,burette
72,72,calorimeter
73,73,carbanion
74,74,carbocation
75,75,catalyst
76,76,cathode
77,77,cation
78,78,centrifugation
79,79,centrifuge
80,80,cell potential
81,81,chain reaction
82,82,charge number
83,83,Charles's law
84,84,chelating agent
85,85,chelation
86,86,chemical composition
87,87,chemical decomposition
88,88,chemical formula
89,89,chemical law
90,90,chemical nomenclature
91,91,chemical process
92,92,chemical reaction
93,93,chemical species
94,94,chemical substance
95,95,chemical synthesis
96,96,chemistry
97,97,chirality
98,98,chromatography
99,99,cis–trans isomerism
100,100,closed system
101,101,cluster
102,102,cohesion
103,103,colligative property
104,104,colloid
105,105,combustion
106,106,Commission on Isotopic Abundances and Atomic Weights (CIAAW)
107,107,compression
108,108,compound
109,109,concentration
110,110,condensation
111,111,condosity
112,112,conductor
113,113,conformation
114,114,conjugate acid
115,115,conjugate base
116,116,conjugated system
117,117,cooling curve
118,118,coordinate chemistry
119,119,coordinate covalent bond
120,120,coordination complex
121,121,corrosion
122,122,coulomb
123,123,covalent bond
124,124,critical point
125,125,crystal
126,126,crystallography
127,127,cuvette
128,128,d-block
129,129,Dalton's law of partial pressures
130,130,deionization
131,131,deliquescence
132,132,delocalized electron
133,133,density
134,134,denticity
135,135,dependent variable
136,136,deposition
137,137,Dewar flask
138,138,diatomic
139,139,diatomic molecule
140,140,diffusion
141,141,dimer
142,142,dipolar bond
143,143,dipole
144,144,dipole moment
145,145,dispersion
146,146,dissociation
147,147,dissolution
148,148,distillation
149,149,double bond
150,150,double-replacement reaction
151,151,ductility
152,152,earth metal
153,153,electric charge
154,154,electrolyte
155,155,electrochemical cell
156,156,electromagnetic radiation
157,157,electromagnetic spectrum
158,158,electromagnetism
159,159,electromotive force (emf)
160,160,electron
161,161,electron configuration
162,162,electron deficiency
163,163,electron pair
164,164,electron shell
165,165,electronegativity (χ)
166,166,electrophile
167,167,electrosynthesis
168,168,element
169,169,elementary reaction
170,170,enantiomer
171,171,enantiomorph
172,172,endothermic process
173,173,energy
174,174,enplethy
175,175,enthalpy
176,176,enthalpy of fusion
177,177,entropy
178,178,environmental chemistry
179,179,enzyme
180,180,empirical formula
181,181,equilibrium
182,182,Eppendorf tube
183,183,Erlenmeyer flask
184,184,exothermic process
185,185,extensive property
186,186,extraction
187,187,extrinsic property
188,188,f-block
189,189,freezing
190,190,Faraday constant
191,191,Faraday's laws of electrolysis
192,192,Fick's laws of diffusion
193,193,filtration
194,194,first-order reaction
195,195,flask
196,196,formal charge (FC)
197,197,fractional distillation
198,198,free radical
199,199,freezing-point depression
200,200,freezing point
201,201,frequency
202,202,functional group
203,203,galvanic cell
204,204,gas
205,205,gas chromatography
206,206,Gay-Lussac's law
207,207,geochemistry
208,208,Gibbs energy
209,209,glass
210,210,gram-atom
211,211,Grignard reaction
212,212,ground glass joint
213,213,group
214,214,halogen
215,215,hadron
216,216,heat
217,217,heat of fusion
218,218,Henry's law
219,219,Hess' law of constant heat summation
220,220,Hund's rules
221,221,hydrate
222,222,hydration reaction
223,223,hydrogen
224,224,hydrogen bond
