id,question_text,question_type,question_id,set_id
10001,Kinetic Energy,P,1,1
10002,Magnetic Field,P,2,1
10003,Potential Energy,P,3,1
10004,Field,P,4,1
10005,Energy,P,5,1
10006,Field Line,P,6,1
10007,Force,P,7,1
10008,Electric Potential,P,8,1
10009,Voltage,P,9,1
10010,Gravity,P,10,1
10011,Electric Field,P,11,1
10012,Speed,P,12,1
10013,Lorentz Force,P,13,1
10014,Angular Velocity,P,14,1
10015,Mass,P,15,1
10016,Net Force,P,1,2
10017,Charge,P,2,2
10018,Angular Momentum,P,3,2
10019,Electricity,P,4,2
10020,Magnetism,P,5,2
10021,Magnetic Dipole,P,6,2
10022,Potential,P,7,2
10023,Thermal Energy,P,8,2
10024,Electrci Field,P,9,2
10025,Wave Speed,P,10,2
10026,Magnetic Field,P,11,2
10027,Light,P,12,2
10028,Electron,P,13,2
10029,Mechanical Energy,P,14,2
10030,Coulomb Law,P,15,2
10031,Fermi Energy,P,1,3
10032,Electric Charge,P,2,3
10033,Energy Level,P,3,3
10034,Charge Density,P,4,3
10035,Angular Frequency,P,5,3
10036,Internal Energy,P,6,3
10037,Magnetic Energy,P,7,3
10038,Angular Acceleration,P,8,3
10039,Gaussian Surface,P,9,3
10040,Energy Density,P,10,3
10041,Surface Charge,P,11,3
10042,Friction,P,12,3
10043,Electric Dipole Moment,P,13,3
10044,Sound,P,14,3
10045,Acceleration,P,15,3
10046,Gravitational Potential,P,1,4
10047,Angular Velocity,P,2,4
10048,Current Density,P,3,4
10049,Velocity,P,4,4
10050,Mass Number,P,5,4
10051,Hooke Law,P,6,4
10052,Charged Particle,P,7,4
10053,Motion,P,8,4
10054,Momentum,P,9,4
10055,Quantum Number,P,10,4
10056,Time Constant,P,11,4
10057,Dipole Moment,P,12,4
10058,Temperature,P,13,4
10059,Invariant Mass,P,14,4
10060,Phase (waves),P,15,4
10061,Momentum,P,1,5
10062,Wavelength,P,2,5
10063,Wave Equation,P,3,5
10064,Ideal Gas,P,4,5
10065,Electromagnetic Radiation,P,5,5
10066,Matter Wave,P,6,5
10067,Valence And Conduction Bands,P,7,5
10068,Density,P,8,5
10069,Electric Current,P,9,5
10070,Wavenumber,P,10,5
10071,Photon Energy,P,11,5
10072,Speed,P,12,5
10073,Gauss Law,P,13,5
10074,Electron Rest Mass,P,14,5
10075,Alpha Particle,P,15,5
10076,Binding Energy,P,1,6
10077,Frequency,P,2,6
10078,Angular Displacement,P,3,6
10079,Number Density,P,4,6
10080,Harmonic Motion,P,5,6
10081,Wave Function,P,6,6
10082,Displacement Current,P,7,6
10083,Magnetic Flux,P,8,6
10084,Energy Level,P,9,6
10085,Charge Carrier,P,10,6
10086,Capacitor,P,11,6
10087,Pressure,P,12,6
10088,Dipole,P,13,6
10089,Maxima And Minima,P,14,6
10090,Euclidean Vector,P,15,6
10091,Molar Mass,P,1,7
10092,Heat,P,2,7
10093,Ray (optics),P,3,7
10094,Friction,P,4,7
10095,Magnetic Moment,P,5,7
10096,Relative Velocity,P,6,7
10097,Linearity,P,7,7
10098,Electrical Energy,P,8,7
10099,Circuit,P,9,7
10100,Quantum Mechanics,P,10,7
10101,Maxwelll Boltzmann Distribution,P,11,7
10102,Diffraction,P,12,7
10103,Resistance,P,13,7
10104,Atomic Mass,P,14,7
10105,Torque,P,15,7
10106,Absolute_zero,C,1,1
10107,Activation_energy,C,2,1
10108,Adhesion,C,3,1
10109,Adsorption,C,4,1
10110,Aldehyde,C,5,1
10111,Alkaline_earth_metal,C,6,1
10112,Alkene,C,7,1
10113,Alkyne,C,8,1
10114,Analytical_chemistry,C,9,1
10115,Aromaticity,C,10,1
10116,Atomic_orbital,C,11,1
10117,Avogadro_constant,C,12,1
10118,Barometer,C,13,1
10119,Biochemistry,C,14,1
10120,Bohr_model,C,15,1
10121,Boyle's_law,C,1,2
10122,Bragg's_law,C,2,2
10123,Brownian_motion,C,3,2
10124,Carbocation,C,4,2
10125,Catalysis,C,5,2
10126,Cathode,C,6,2
10127,Cathode_ray_tube,C,7,2
10128,Chemical_nomenclature,C,8,2
10129,Chemical_reaction,C,9,2
10130,Chirality,C,10,2
10131,Chromatography,C,11,2
10132,Colloid,C,12,2
10133,Combustion,C,13,2
10134,Concentration,C,14,2
10135,Condensation,C,15,2
10136,Conjugated_system,C,1,3
10137,Corrosion,C,2,3
10138,Covalent_bond,C,3,3
10139,Critical_point,C,4,3
10140,Crystal,C,5,3
10141,Crystallography,C,6,3
