id,choice_text,question_id,set_id,question_type
101,Acceleration,1,1,P
102,Energy,1,1,P
103,Force,1,1,P
104,Impulse,1,1,P
105,Mass,1,1,P
106,Mechanical Work,1,1,P
107,Moment,1,1,P
108,Momentum,1,1,P
109,Time,1,1,P
110,Torque,1,1,P
111,Relative Velocity,1,1,P
112,Displacement,1,1,P
113,Frequency,1,1,P
114,Electrostatics,2,1,P
115,Conductor,2,1,P
116,Coulomb's Law,2,1,P
117,Electric Charge,2,1,P
118,Electric Flux,2,1,P
119,Potential Energy,2,1,P
120,Induction,2,1,P
121,Insulator,2,1,P
122,Electromagnetic Induction,2,1,P
123,Displacement Current,2,1,P
124,Electromagnetic Field,2,1,P
125,Electromagnetic Radiation,2,1,P
126,Alternating Current,2,1,P
127,Capacitance,2,1,P
128,Electric Current,2,1,P
129,Electric Potential,2,1,P
130,Electromotive Force,2,1,P
131,Acceleration,3,1,P
132,Angular Momentum,3,1,P
133,Energy,3,1,P
134,Force,3,1,P
135,Mass,3,1,P
136,Mechanical Power,3,1,P
137,Moment,3,1,P
138,Momentum,3,1,P
139,Time,3,1,P
140,Torque,3,1,P
141,Velocity,3,1,P
142,Damping,3,1,P
143,Displacement,3,1,P
144,Angular Acceleration,3,1,P
145,Displacement,3,1,P
146,Frequency,3,1,P
147,Velocity,3,1,P
148,Field,4,1,P
149,Electric Field,4,1,P
150,Magnetic Field,4,1,P
151,Electromagnetic Field,4,1,P
152,Gravitational Field,4,1,P
153,Field (bourdieu),4,1,P
154,Angular Momentum,5,1,P
155,Couple,5,1,P
156,Force,5,1,P
157,Inertia,5,1,P
158,Mass,5,1,P
159,Moment,5,1,P
160,Momentum,5,1,P
161,Speed,5,1,P
162,Torque,5,1,P
163,Damping,5,1,P
164,Friction,5,1,P
165,Relative Velocity,5,1,P
166,Angular Acceleration,5,1,P
167,Displacement,5,1,P
168,Frequency,5,1,P
169,Line Of Force,6,1,P
170,Electric Fields,6,1,P
171,Magnetic Fields,6,1,P
172,Velocity,6,1,P
173,Gauss's Law,6,1,P
174,Electric Field,6,1,P
175,Coulomb's Law,6,1,P
176,Solenoidal Vector Field,6,1,P
177,Gravitational Field,6,1,P
178,Electrostatic Field,6,1,P
179,Damping,7,1,P
180,Displacement,7,1,P
181,Friction,7,1,P
182,Relative Velocity,7,1,P
183,Euler's Equations,7,1,P
